No of employee,Annual turnover,TCTC,Basic Salary,Cash Injection,Contrib Waiver,Affected Employee
1,1500000.0,3000.0,3000.0,1,1,1
9,0.0,0.0,0.0,0,0,1
16,0.0,1500.0,1500.0,1,0,1
2,36000.0,3600.0,3600.0,0,0,1
16,798783.03,9848.22,9880.0,1,1,1
2,427080.0,0.0,35590.0,0,0,1
1,100000.0,100000.0,3000.0,1,1,1
3,1851870.4,0.0,27731.0,1,0,1
12,70000.0,2000.0,1300.0,1,1,1
15,0.0,0.0,0.0,0,0,1
3,0.0,8000.0,8400.0,0,1,1
1,443122.0,15860.0,13840.0,1,1,1
4,225000.0,6000.0,6000.0,0,1,1
1,300000.0,54000.0,4500.0,0,0,1
11,18000.0,36000.0,1500.0,1,0,1
14,1700000.0,30249.63,30078.0,1,1,1
24,2821000.0,10090.0,10000.0,1,1,0
3,0.0,11200.0,47200.0,0,1,1
1,39022.0,102000.0,8500.0,1,1,1
2,200000.0,21000.0,21000.0,1,1,1
3,552.4,4980.89,1200.0,1,1,1
1,48000.0,50000.0,48000.0,1,1,1
1,18000.0,30000.0,18000.0,1,1,1
1,156000.0,2600.0,5000.0,1,1,1
4,180000.0,3500.0,3500.0,1,1,1
24,500000.0,15000.0,600.0,1,1,1
11,800000.0,4600.0,4600.0,0,1,1
5,200000.0,45000.0,12000.0,1,0,1
5,100000.0,1600.0,1600.0,1,1,1
2,2252714.85,13854.0,12100.0,1,1,1
4,150000.0,1500.0,1500.0,0,1,1
2,65000.0,4459.5,4500.0,0,1,1
1,15000.0,90.0,3600.0,1,1,0
15,373900.0,11100.0,10900.0,1,1,1
6,40000.0,1600.0,1600.0,0,1,0
2,1000000.0,39080.0,36000.0,1,1,1
9,1530000.0,84756.0,70000.0,1,1,1
4,161500.0,900.0,900.0,1,1,1
6,0.0,5000.0,0.0,1,1,1
3,0.0,0.0,10000.0,0,0,1
5,35000.0,7500.0,3400.0,1,1,1
2,1117745.14,28883.0,25612.0,1,1,1
6,0.0,1500.0,1500.0,1,1,1
19,180000.0,15000.0,15000.0,0,0,1
1,0.0,0.0,0.0,1,1,1
2,3247500.0,64980.0,56475.0,1,1,1
2,10000.0,10200.0,3700.0,1,1,1
6,235200.0,48000.0,48000.0,0,1,1
10,40380.0,144.0,3365.0,1,1,1
9,1100000.0,6000.0,6000.0,1,0,0
2,32400.0,32400.0,32400.0,1,1,1
1,120000.0,0.0,2000.0,1,1,1
1,400000.0,18000.0,18000.0,1,0,0
11,58800.0,0.0,4900.0,1,1,1
4,96000.0,2000.0,2000.0,1,1,1
2,30000.0,0.0,2500.0,1,1,1
6,300000.0,0.0,4000.0,1,1,1
4,50000.0,4036.0,4000.0,1,1,1
1,264000.0,2376.0,22000.0,1,1,1
2,10800.0,6000.0,3600.0,1,1,1
4,350000.0,7000.0,7000.0,1,1,1
1,25000.0,5820.0,6000.0,1,0,1
5,1150615.0,0.0,41500.0,0,0,1
2,0.0,0.0,0.0,1,1,1
1,30000.0,25000.0,2000.0,1,1,1
4,0.0,0.0,13500.0,1,1,1
10,480000.0,40000.0,40000.0,1,1,1
7,3600.0,300.0,300.0,1,1,1
8,1047111.4,0.0,24900.0,1,1,1
1,55000.0,63789.6,60000.0,0,1,0
3,158400.0,13200.0,13200.0,0,1,0
1,35000.0,1200.0,300.0,1,1,1
1,360000.0,3000.0,3000.0,1,0,1
1,15000.0,1200.0,1200.0,1,1,1
4,3600.0,3600.0,300.0,0,1,1
1,172800.0,10375.67,10375.67,0,0,1
2,27000.0,1470.0,2250.0,0,0,1
1,3600.0,2600.0,300.0,1,1,1
10,150000.0,11500.0,5500.0,1,0,0
2,250000.0,10000.0,10000.0,1,1,0
2,0.0,14000.0,14000.0,1,1,1
4,500000.0,16000.0,16000.0,1,1,1
10,0.0,10000.0,10000.0,1,1,1
