ID,No of employee,Annual turnover,TCTC,Basic Salary,Cash Injection,Contrib Waiver,Affected Employee
1,63,3098000000,13782989.04,9500520.21,0,1,0
2,73,15000000,326574.61,992400,1,1,1
3,18,0,543629.21,397789.63,0,1,1
4,25,52000000,725607.67,496910,0,1,1
5,1,765270.6,205385.34,31530,0,0,0
6,1,1500000,3000,3000,1,1,1
7,1,36770934.34,159333.19,136199.28,1,1,0
8,9,0,0,0,0,0,1
9,16,0,1500,1500,1,0,1
10,2,36000,3600,3600,0,0,1
11,16,798783.03,9848.22,9880,1,1,1
12,2,427080,0,35590,0,0,1
13,1,2288971,94514,94514,1,1,1
14,1,4113850,137233,126614,1,1,1
15,1,100000,100000,3000,1,1,1
16,3,1851870.4,0,27731,1,0,1
17,12,70000,2000,1300,1,1,1
18,31,6000,756,42000,1,1,1
19,8,810000,310000,288000,1,1,1
20,15,0,0,0,0,0,1
21,11,3000000,550000,371400,1,1,1
22,1,16703894,190530.99,144523.44,1,1,1
23,3,0,8000,8400,0,1,1
24,1,443122,15860,13840,1,1,1
25,4,225000,6000,6000,0,1,1
26,1,3000000,400000,300000,1,0,1
27,1,300000,54000,4500,0,0,1
28,11,18000,36000,1500,1,0,1
29,14,1700000,30249.63,30078,1,1,1
30,24,2821000,10090,10000,1,1,0
31,37,120000,3600,300,1,1,1
32,3,0,11200,47200,0,1,1
33,11,3454000,979947.15,979947.15,1,0,0
34,1,39022,102000,8500,1,1,1
35,2,200000,21000,21000,1,1,1
36,3,552.4,4980.89,1200,1,1,1
37,1,48000,50000,48000,1,1,1
38,1,18000,30000,18000,1,1,1
39,1,156000,2600,5000,1,1,1
40,4,180000,3500,3500,1,1,1
41,24,500000,15000,600,1,1,1
42,11,800000,4600,4600,0,1,1
43,31,13200,1100,1500,1,1,1
44,40,150000,0,0,1,1,1
45,5,200000,45000,12000,1,0,1
46,5,100000,1600,1600,1,1,1
47,2,2252714.85,13854,12100,1,1,1
48,4,150000,1500,1500,0,1,1
49,2,65000,4459.5,4500,0,1,1
50,1,15000,90,3600,1,1,0
51,28,48000,4000,4000,1,0,1
52,15,373900,11100,10900,1,1,1
53,4,4000000,249000,192599.99,1,1,1
54,6,40000,1600,1600,0,1,0
55,2,1000000,39080,36000,1,1,1
56,9,1530000,84756,70000,1,1,1
57,4,161500,900,900,1,1,1
58,2,3086526.92,91093.09,82900,1,1,1
59,6,0,5000,0,1,1,1
60,3,0,0,10000,0,0,1
61,5,35000,7500,3400,1,1,1
62,2,1117745.14,28883,25612,1,1,1
63,6,0,157807,91607,0,0,1
64,6,0,1500,1500,1,1,1
65,19,180000,15000,15000,0,0,1
66,1,0,0,0,1,1,1
67,2,3247500,64980,56475,1,1,1
68,2,10000,10200,3700,1,1,1
69,6,235200,48000,48000,0,1,1
70,10,40380,144,3365,1,1,1
71,9,1100000,6000,6000,1,0,0
72,2,32400,32400,32400,1,1,1
73,1,120000,0,2000,1,1,1
74,1,400000,18000,18000,1,0,0
75,11,58800,0,4900,1,1,1
76,4,96000,2000,2000,1,1,1
77,2,30000,0,2500,1,1,1
78,6,300000,0,4000,1,1,1
79,4,50000,4036,4000,1,1,1
80,1,126957.68,324156,440400,1,1,1
81,1,264000,2376,22000,1,1,1
82,2,10800,6000,3600,1,1,1
83,3,200000,120000,120000,1,0,1
84,10,5800000,108851,108851,0,0,1
85,4,350000,7000,7000,1,1,1
86,1,25000,5820,6000,1,0,1
87,7,7200000,88900,73400,1,1,1
